date	id_county	county	id_state	state	size	population	density	demography_1	no_cases	cases_m	cases_w	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	no_infected	no_deceased
2020-03-13	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	3	2	0	0	0	0	1	2	0	3	0
2020-03-15	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	4	2	0	0	0	2	2	0	0	4	0
2020-03-16	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	1	1	0	0	0	0	0	1	0	1	0
2020-03-17	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	4	2	0	0	0	0	3	1	0	4	0
2020-03-18	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	5	3	0	0	0	0	3	2	0	5	0
2020-03-19	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	3	0	0	0	0	2	0	0	1	3	0
2020-03-20	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	5	2	0	0	0	1	2	2	0	5	0
2020-03-11	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	1	1	0	0	0	0	1	0	0	1	0
2020-03-12	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	2	2	0	0	0	0	2	0	0	2	0
2020-03-13	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	3	2	0	0	0	0	3	0	0	3	0
2020-03-14	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	5	4	0	0	0	0	5	0	0	5	0
2020-03-15	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	5	2	0	0	3	0	2	0	0	5	0
2020-03-16	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	1	0	0	0	0	1	0	0	0	1	0
2020-03-17	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	1	1	0	0	1	0	0	0	0	1	0
2020-03-18	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	3	2	0	0	0	0	1	2	0	3	0
2020-03-19	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	2	1	0	0	0	0	1	0	1	2	0
2020-03-20	1059	LK Schleswig-Flensburg	1.0	Schleswig-Holstein	2071.1300000000006	199503.0	96.32567728727793	0.24	1	1	0	0	0	0	1	0	0	1	0
2020-02-28	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	1	1	0	0	0	0	0	1	0	1	0
2020-03-06	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	1	0	0	0	0	0	0	1	0	1	0
2020-03-12	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	2	1	0	0	0	0	1	1	0	2	0
2020-03-14	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	2	2	0	0	0	0	2	0	0	2	0
2020-03-16	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	4	3	0	0	0	1	3	0	0	4	0
2020-03-17	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	4	3	0	0	0	1	1	2	0	4	0
2020-03-18	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	4	3	0	0	0	0	2	2	0	4	0
2020-03-19	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	4	2	0	0	0	1	3	0	0	4	0
2020-03-20	1060	LK Segeberg	1.0	Schleswig-Holstein	1344.4	274025.0	203.82698601606663	0.22	5	3	0	0	0	2	3	0	0	5	0
2020-03-13	1061	LK Steinburg	1.0	Schleswig-Holstein	1055.6999999999996	131613.0	124.66894003978405	0.23	2	0	0	0	0	0	2	0	0	2	0
2020-03-14	1061	LK Steinburg	1.0	Schleswig-Holstein	1055.6999999999996	131613.0	124.66894003978405	0.23	1	1	0	0	0	1	0	0	0	1	0
2020-03-19	1061	LK Steinburg	1.0	Schleswig-Holstein	1055.6999999999996	131613.0	124.66894003978405	0.23	4	3	0	0	0	2	1	1	0	4	0
2020-03-20	1061	LK Steinburg	1.0	Schleswig-Holstein	1055.6999999999996	131613.0	124.66894003978405	0.23	5	1	0	0	0	2	3	0	0	5	0
2020-03-12	1062	LK Stormarn	1.0	Schleswig-Holstein	766.3200000000003	242472.0	316.41089884121504	0.23	2	2	0	0	0	1	1	0	0	2	0
2020-03-13	1062	LK Stormarn	1.0	Schleswig-Holstein	766.3200000000003	242472.0	316.41089884121504	0.23	3	2	0	0	0	0	3	0	0	3	0
2020-03-14	1062	LK Stormarn	1.0	Schleswig-Holstein	766.3200000000003	242472.0	316.41089884121504	0.23	1	1	0	0	0	0	1	0	0	1	0
2020-03-16	1062	LK Stormarn	1.0	Schleswig-Holstein	766.3200000000003	242472.0	316.41089884121504	0.23	2	0	0	0	0	2	0	0	0	2	0
2020-03-17	1062	LK Stormarn	1.0	Schleswig-Holstein	766.3200000000003	242472.0	316.41089884121504	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-18	1062	LK Stormarn	1.0	Schleswig-Holstein	766.3200000000003	242472.0	316.41089884121504	0.23	3	3	0	0	0	0	2	0	1	3	0
2020-02-29	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	1	0	0	0	0	0	1	0	0	1	0
2020-03-01	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	1	0	0	0	0	0	0	1	0	1	0
2020-03-04	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	2	1	0	0	0	0	2	0	0	2	0
2020-03-05	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	5	1	0	0	0	3	1	1	0	5	0
2020-03-06	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	2	1	0	0	0	2	0	0	0	2	0
2020-03-07	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	3	2	0	0	0	1	2	0	0	3	0
2020-03-08	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	5	3	0	0	0	1	4	0	0	5	0
2020-03-09	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	19	11	0	0	0	4	12	3	0	19	0
