	kreis_id	kreis	size	population	bundesland_id	bundesland	factor
259	9363	Weiden i.d.OPf., Stadt	70.57	42543	9	Bayern	603
260	9371	Amberg-Sulzbach	1255.84	102836	9	Bayern	82
261	9372	Cham	1520.11	127339	9	Bayern	84
262	9373	Neumarkt i.d.OPf.	1343.95	132644	9	Bayern	99
263	9374	Neustadt a.d.Waldnaab	1427.69	94486	9	Bayern	66
264	9375	Regensburg	1391.71	192200	9	Bayern	138
265	9376	Schwandorf	1465.09	146487	9	Bayern	100
266	9377	Tirschenreuth	1084.26	72730	9	Bayern	67
267	9461	Bamberg, Stadt	54.62	77179	9	Bayern	1413
268	9462	Bayreuth, Stadt	66.89	73999	9	Bayern	1106
269	9463	Coburg, Stadt	48.29	41236	9	Bayern	854
270	9464	Hof, Stadt	58.02	45950	9	Bayern	792
271	9471	Bamberg	1167.78	146584	9	Bayern	126
272	9472	Bayreuth	1273.62	103805	9	Bayern	82
273	9473	Coburg	590.41	86885	9	Bayern	147
274	9474	Forchheim	642.82	115681	9	Bayern	180
275	9475	Hof	892.51	95773	9	Bayern	107
276	9476	Kronach	651.5	67474	9	Bayern	104
277	9477	Kulmbach	658.33	72012	9	Bayern	109
278	9478	Lichtenfels	519.93	66777	9	Bayern	128
279	9479	Wunsiedel i.Fichtelgebirge	606.37	73485	9	Bayern	121
280	9561	Ansbach, Stadt	99.91	41652	9	Bayern	417
281	9562	Erlangen, Stadt	76.96	110998	9	Bayern	1442
282	9563	Fürth, Stadt	63.35	126526	9	Bayern	1997
283	9564	Nürnberg, Stadt	186.45	515201	9	Bayern	2763
284	9565	Schwabach, Stadt	40.8	40781	9	Bayern	1000
285	9571	Ansbach	1971.31	183256	9	Bayern	93
286	9572	Erlangen-Höchstadt	564.54	135334	9	Bayern	240
287	9573	Fürth	307.42	116193	9	Bayern	378
288	9574	Nürnberger Land	799.54	169752	9	Bayern	212
289	9575	Neustadt a.d.Aisch-Bad Windsheim	1267.45	99641	9	Bayern	79
290	9576	Roth	895.14	126101	9	Bayern	141
291	9577	Weißenburg-Gunzenhausen	970.78	94208	9	Bayern	97
292	9661	Aschaffenburg, Stadt	62.45	69928	9	Bayern	1120
293	9662	Schweinfurt, Stadt	35.7	53437	9	Bayern	1497
294	9663	Würzburg, Stadt	87.6	126635	9	Bayern	1446
295	9671	Aschaffenburg	698.91	173969	9	Bayern	249
296	9672	Bad Kissingen	1136.83	103265	9	Bayern	91
297	9673	Rhön-Grabfeld	1021.74	79796	9	Bayern	78
298	9674	Haßberge	956.19	84464	9	Bayern	88
299	9675	Kitzingen	684.16	90429	9	Bayern	132
300	9676	Miltenberg	715.53	128484	9	Bayern	180
301	9677	Main-Spessart	1321.18	126523	9	Bayern	96
302	9678	Schweinfurt	841.4	115105	9	Bayern	137
303	9679	Würzburg	968.33	161340	9	Bayern	167
304	9761	Augsburg, Stadt	146.87	292851	9	Bayern	1994
305	9762	Kaufbeuren, Stadt	40.02	43478	9	Bayern	1086
306	9763	Kempten (Allgäu), Stadt	63.28	68330	9	Bayern	1080
307	9764	Memmingen, Stadt	70.11	43470	9	Bayern	620
308	9771	Aichach-Friedberg	780.25	132596	9	Bayern	170
309	9772	Augsburg	1070.61	249838	9	Bayern	233
310	9773	Dillingen a.d.Donau	792.24	95159	9	Bayern	120
311	9774	Günzburg	762.41	124519	9	Bayern	163
