kreis_id	kreis	size	population	bundesland_id	bundesland
8221000	Heidelberg, Stadt	108.89	160601	8	Baden-Württemberg
8222000	Mannheim, Stadt	144.97	307997	8	Baden-Württemberg
8225000	Neckar-Odenwald-Kreis	1125.95	143376	8	Baden-Württemberg
8226000	Rhein-Neckar-Kreis	1061.54	546745	8	Baden-Württemberg
8231000	Pforzheim, Stadt	98.07	124289	8	Baden-Württemberg
8235000	Calw	797.31	157424	8	Baden-Württemberg
8236000	Enzkreis	573.62	198369	8	Baden-Württemberg
8237000	Freudenstadt	870.39	117456	8	Baden-Württemberg
8311000	Freiburg im Breisgau, Stadt	153.04	229636	8	Baden-Württemberg
8315000	Breisgau-Hochschwarzwald	1378.31	262405	8	Baden-Württemberg
8316000	Emmendingen	679.79	164712	8	Baden-Württemberg
8317000	Ortenaukreis	1860.29	425932	8	Baden-Württemberg
8325000	Rottweil	769.44	138858	8	Baden-Württemberg
8326000	Schwarzwald-Baar-Kreis	1025.34	211207	8	Baden-Württemberg
8327000	Tuttlingen	734.35	139397	8	Baden-Württemberg
8335000	Konstanz	817.97	284015	8	Baden-Württemberg
8336000	Lörrach	806.72	228314	8	Baden-Württemberg
8337000	Waldshut	1131.1	170198	8	Baden-Württemberg
8415000	Reutlingen	1092.46	285754	8	Baden-Württemberg
8416000	Tübingen	519.14	225755	8	Baden-Württemberg
8417000	Zollernalbkreis	917.56	188170	8	Baden-Württemberg
8421000	Ulm, Stadt	118.68	125596	8	Baden-Württemberg
8425000	Alb-Donau-Kreis	1358.54	194629	8	Baden-Württemberg
8426000	Biberach	1409.49	198265	8	Baden-Württemberg
8435000	Bodenseekreis	664.77	214655	8	Baden-Württemberg
8436000	Ravensburg	1632.09	283264	8	Baden-Württemberg
8437000	Sigmaringen	1204.22	130192	8	Baden-Württemberg
9161000	Ingolstadt, Stadt	133.35	135244	9	Bayern
9162000	München, Stadt	310.71	1456039	9	Bayern
9163000	Rosenheim, Stadt	37.22	63080	9	Bayern
9171000	Altötting	569.29	110338	9	Bayern
9172000	Berchtesgadener Land	839.85	105052	9	Bayern
9173000	Bad Tölz-Wolfratshausen	1110.66	126572	9	Bayern
9174000	Dachau	579.15	152703	9	Bayern
9175000	Ebersberg	549.39	140800	9	Bayern
9176000	Eichstätt	1213.86	131646	9	Bayern
9177000	Erding	870.73	136884	9	Bayern
9178000	Freising	799.85	177997	9	Bayern
9179000	Fürstenfeldbruck	434.83	217831	9	Bayern
9180000	Garmisch-Partenkirchen	1012.21	88155	9	Bayern
9181000	Landsberg am Lech	804.37	119141	9	Bayern
9182000	Miesbach	866.22	99189	9	Bayern
9183000	Mühldorf a.Inn	805.36	114486	9	Bayern
9184000	München	664.27	346433	9	Bayern
9185000	Neuburg-Schrobenhausen	739.72	96164	9	Bayern
9186000	Pfaffenhofen a.d.Ilm	761.05	126244	9	Bayern
9187000	Rosenheim	1439.45	259449	9	Bayern
9188000	Starnberg	487.72	135545	9	Bayern
9189000	Traunstein	1533.74	176290	9	Bayern
9190000	Weilheim-Schongau	966.29	134252	9	Bayern
