author,country,state,city_or_region,country_iso,adm1,adm2,date,border_control,home_office,closure_leisureandbars,shutdown_publictransport,closure_football_stadiums,lockdown,schools_closed,traveller_quarantine,primary_residence,test_limitations,ban_events_over_1000,misc,source,compliance_estimate,compliance_source
Berit,USA,,Atlanta,US,13,13121,2020-03-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.ajc.com/news/breaking-news/atlanta-mayor-closes-restaurants-clubs-various-other-gathering-spots/gHQ32g3PPLEIY9mAq8VmLM/,,
Berit,USA,Hawaii,,US,15,,2020-03-17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,https://www.hawaiinewsnow.com/2020/03/18/live-governor-discuss-latest-efforts-stem-spread-coronavirus/,,
Berit,USA,Illinois,,US,17,,2020-03-21,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Illinois,,US,17,,2020-03-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Indiana,,US,18,,2020-03-16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Iowa,,US,19,,2020-03-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,not sure if school closure already in place on 16th March,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Kansas,,US,20,,2020-03-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Kentucky,,US,21,,2020-03-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=94,,
Berit,USA,Kentucky,,US,21,,2020-03-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"again, not entirely sure about the date",https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Lousiana,,US,22,,2020-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
